id,latitude,longitude,price,availability_30,availability_60,availability_90,availability_365,review_scores_rating
35062635,51.52906,-0.0703,150,27,57,87,87,
35062948,51.45378,-0.11701,51,25,52,77,77,4.8
35063577,51.50872,0.02231,379,30,60,86,357,3.71
35063612,51.55001,0.00239,68,0,4,34,309,4.83
35063680,51.47084,-0.0506,40,29,59,89,89,
35064342,51.46443,-0.01288,55,20,50,78,168,4.92
35065665,51.51479,-0.12749,59,0,0,0,0,4.55
35066321,51.52219,-0.1695,150,0,0,0,0,
35066340,51.52572,-0.16595,50,30,60,90,365,4.33
35071129,51.41648,-0.22022,100,29,59,89,179,
35073136,51.45067,-0.19884,89,28,58,88,363,
35073412,51.51335,0.04954,60,29,59,89,364,4.09
35074252,51.47144,-0.01338,30,30,60,90,365,5
35075522,51.53959,-0.20805,31,26,56,86,86,4.91
35077041,51.49167,-0.26445,112,30,60,90,180,5
35077178,51.53827,-0.20774,36,30,60,90,90,4.87
35077188,51.54259,-0.04724,40,0,0,0,0,
35077862,51.53558,-0.00467,25,0,0,0,0,
35077981,51.42566,-0.14433,105,0,0,0,0,4
35078405,51.47559,-0.11054,40,0,0,0,63,4.45
35078460,51.52,-0.06529,153,30,60,90,365,0
35079425,51.40783,-0.17867,49,0,0,0,0,5
35082207,51.52683,-0.10092,96,0,0,0,0,4.7
35082699,51.51296,-0.20453,150,0,0,0,0,5
35083063,51.58301,-0.0188,76,0,0,0,0,5
35083156,51.60177,-0.09971,60,29,59,89,364,
35084863,51.53341,0.05414,15,0,0,0,0,4.83
35085161,51.55331,-0.11414,40,29,59,89,89,4.86
35086628,51.47013,-0.25285,56,0,0,0,0,5
35086993,51.46973,-0.15054,45,0,5,35,35,
35087608,51.42263,-0.18111,65,0,0,0,0,
35087624,51.51628,0.05466,35,0,0,23,203,4.95
35087815,51.53476,0.01129,103,0,0,0,0,4.94
35088156,51.51328,-0.31904,35,0,0,0,0,3.67
35089751,51.45898,0.02464,80,0,0,0,0,
35090679,51.59397,0.01376,146,6,36,66,341,4.65
35090903,51.52842,-0.07339,175,18,48,78,180,4.29
35090965,51.44827,-0.10219,60,0,0,0,0,5
35091103,51.49124,-0.13672,129,0,0,0,0,4.75
35091109,51.55845,-0.21779,65,23,53,83,83,
35091487,51.64729,-0.14318,100,0,0,0,0,
35093023,51.39498,-0.0648,100,0,0,0,249,4
35093436,51.51483,-0.12013,601,28,58,88,88,
35096130,51.52306,0.0135,61,29,59,89,179,
35102046,51.51241,-0.01197,55,0,0,0,0,4.4
35103383,51.49933,-0.20896,192,0,0,0,0,5
35106286,51.55554,-0.18385,145,0,0,0,0,4.75
35106922,51.52122,0.02476,59,30,60,90,91,4.52
35107496,51.55226,0.08028,38,29,59,89,89,3.33
35107808,51.49738,-0.07197,200,0,0,0,0,
35110158,51.44931,-0.14788,99,0,0,0,0,5
35110941,51.55792,0.0074,28,28,35,65,155,4.72
35111477,51.51946,-0.19879,45,29,59,89,89,4.55
35112367,51.479,-0.25306,30,0,0,4,4,
35114457,51.52174,-0.1558,199,0,0,0,0,
35115637,51.46949,-0.12894,150,29,59,89,89,0
35115968,51.50752,-0.27398,105,29,58,88,175,5
35116108,51.42015,-0.20316,45,0,0,0,189,4.92
35116851,51.5106,-0.18906,62,1,31,35,209,5
35116991,51.50905,-0.27202,116,29,47,77,164,4.67
35117347,51.42939,-0.3028,38,0,0,24,24,4.86
35117440,51.52886,-0.08276,95,30,60,90,90,4.57
35117534,51.50673,-0.27247,136,29,57,87,172,5
35118043,51.44421,-0.15541,125,0,0,0,0,
35119302,51.46634,-0.10024,75,0,0,0,0,5
35119431,51.62663,-0.00528,60,0,0,0,0,5
35120048,51.51776,-0.07322,115,16,43,73,168,4.23
35120094,51.42325,-0.2028,90,0,0,0,0,5
35120489,51.45485,0.02457,35,0,0,0,0,5
35121268,51.50534,-0.32592,50,0,0,0,0,4.95
35121780,51.63246,-0.04666,22,0,5,35,35,4.54
35122307,51.55151,-0.09738,42,0,0,0,0,4
35122928,51.50592,-0.325,90,0,0,0,0,5
35123311,51.50187,-0.29805,35,0,0,0,39,5
35125159,51.55973,-0.28406,40,0,0,0,0,
35125564,51.47155,-0.19865,280,30,60,90,95,5
35125656,51.49596,-0.023,40,0,0,0,0,5
35125891,51.53559,-0.00625,95,20,50,80,170,4.5
35125915,51.48861,-0.47105,120,0,0,0,0,5
35125923,51.55001,0.00239,87,30,60,90,365,4.74
35126886,51.52319,-0.37158,27,19,38,60,335,4.87
35127303,51.51886,-0.02656,42,29,59,89,89,4.79
35127376,51.51801,-0.19939,70,0,0,0,0,5
35127530,51.49674,-0.16504,145,27,57,87,177,5
35128202,51.55001,0.00239,49,0,0,0,250,4.86
35136184,51.46275,-0.25168,38,0,0,0,0,4.14
35136527,51.46401,-0.25353,39,0,0,0,0,4.86
35137551,51.44162,-0.16113,667,0,0,0,0,
35138570,51.44989,-0.11781,95,9,34,59,213,4.96
35138806,51.524,-0.05105,39,14,44,74,349,
35139525,51.54376,-0.13017,150,0,0,21,70,4.86
35140114,51.42849,-0.12454,70,29,59,89,364,
35140390,51.52225,-0.05198,25,30,60,90,365,5
35140706,51.54996,-0.23949,26,0,0,0,0,4
35141449,51.52658,-0.05568,100,0,0,0,0,5
35145239,51.51099,-0.06523,130,7,37,67,156,5
35145976,51.47692,-0.16543,160,17,47,77,352,4.94
35146173,51.54814,-0.09282,100,0,0,0,0,5
35146594,51.52931,-0.02677,55,30,60,90,365,4.25
35147542,51.52434,-0.13801,225,30,60,90,365,4.88
35147564,51.57571,0.11636,48,28,58,88,363,
35147750,51.51327,-0.1318,"15,986.00",30,60,90,365,4.76
35148258,51.51452,-0.18633,129,30,60,90,358,4.78
35148724,51.46366,-0.07207,179,0,0,0,0,4.75
35148971,51.54642,-0.07988,90,25,55,85,85,4
35150403,51.49617,-0.09787,98,30,60,90,365,4.64
35150925,51.48459,0.01015,160,0,0,0,0,5
35151530,51.47667,-0.1665,80,29,59,89,179,5
35151540,51.51044,-0.00697,35,0,0,0,0,
35151803,51.51436,-0.13232,126,30,60,90,357,4.71
35151979,51.53704,-0.15066,300,1,1,1,72,4
35152393,51.51385,-0.13185,"15,986.00",26,52,82,357,4.92
35152871,51.51548,-0.1305,117,30,52,74,344,4.72
35152911,51.55206,0.07859,23,29,59,89,89,5
35152920,51.51337,-0.15897,170,0,0,0,0,4.59
35153367,51.52247,-0.11969,59,5,9,25,25,4.89
35153724,51.52815,-0.12381,123,0,0,0,0,4
35154225,51.58405,-0.08009,65,29,59,89,364,
35154255,51.54024,-0.10239,50,30,60,90,365,4.9
35156321,51.40756,-0.2133,80,0,0,0,0,
35156389,51.58491,-0.05618,35,0,0,0,0,5
35156786,51.48328,0.00968,185,0,0,19,107,5
35157069,51.45364,0.04718,30,29,59,89,89,4.5
35157091,51.64339,-0.16157,45,29,59,89,180,
35157505,51.52456,-0.05688,40,8,38,63,63,4.94
35157561,51.48465,-0.17582,50,29,59,89,179,1
35158439,51.5623,-0.05303,19,0,0,0,0,4.75
35158636,51.55747,0.0102,20,0,5,35,35,4.8
35158850,51.51674,-0.16403,150,23,47,61,241,4.67
35159968,51.48828,-0.14054,100,0,0,0,0,4.67
35160212,51.5894,-0.12681,216,0,0,0,0,5
35160365,51.47195,-0.07896,34,0,0,5,5,3.8
35160480,51.47116,-0.03005,140,0,0,0,0,5
35161635,51.51186,-0.00977,70,0,0,0,0,1
35161841,51.53895,-0.04311,99,0,0,0,0,5
35163619,51.53227,-0.06129,163,27,57,87,87,5
35166416,51.56232,0.10584,90,30,30,30,30,5
35169194,51.65332,-0.083,30,23,53,83,358,5
35170196,51.58463,-0.1313,34,0,0,0,58,4.85
35170971,51.45449,-0.03745,240,30,60,90,365,0
35171742,51.45771,-0.05354,366,0,0,0,0,5
35173964,51.41634,-0.07603,65,28,58,88,268,3.33
35174049,51.5434,-0.06379,140,0,0,0,129,5
35174176,51.51595,-0.1721,119,6,17,23,23,4.86
35174338,51.44339,-0.04562,20,9,27,29,134,4.87
35174840,51.52733,-0.09739,130,0,0,0,0,5
35175092,51.48791,-0.19303,150,4,10,40,130,4.75
35175598,51.5712,-0.13497,200,0,13,13,82,5
35176515,51.48891,-0.13934,123,0,0,0,0,4.8
35177698,51.49272,-0.21349,89,0,0,0,0,4.67
35178598,51.43915,-0.21418,90,5,5,5,5,4.67
35178691,51.47498,-0.05299,197,3,33,63,153,4.63
35179443,51.46565,-0.39255,21,6,13,43,318,4.79
35179592,51.48841,-0.07195,115,30,60,90,90,4.73
35180049,51.50012,-0.04551,52,20,34,59,235,4.87
35180076,51.5315,-0.11134,90,0,0,0,0,4.88
35180344,51.51318,-0.12966,150,28,58,88,268,
35180945,51.48526,0.01022,60,0,0,0,0,
35181036,51.499,-0.31912,57,0,0,0,39,4.83
35181527,51.50064,-0.31993,53,0,0,0,39,5
35182837,51.49431,-0.18282,399,1,31,61,336,5
35183177,51.55127,-0.28669,200,29,59,89,89,
35183557,51.53509,-0.09142,90,30,60,90,90,
35183709,51.49482,-0.18668,65,18,48,55,55,4.6
35184152,51.51069,-0.21023,815,0,0,0,0,5
35184380,51.50423,-0.22141,80,0,0,0,0,4.75
35184520,51.52444,0.10412,35,30,60,90,90,4.89
35185190,51.53317,-0.13941,130,0,0,0,0,4.59
35185955,51.52864,-0.08649,36,0,0,0,0,4.86
35185970,51.51109,-0.19608,69,4,34,64,67,4.71
35186578,51.60927,-0.05963,30,28,58,88,178,5
35187786,51.54573,-0.07557,80,25,55,85,175,4.36
35187801,51.5361,-0.07761,146,0,0,4,279,4.88
35188013,51.4294,-0.18929,95,0,0,0,0,4.67
35188834,51.54284,-0.15698,99,0,5,5,109,4.81
